scan_at,regime,vix,filtre_D,n_signaux,cluster_action,alerte_fraicheur,jour_bdc,XIU_z20,XIU_z60,XIU_signal,XFN_z20,XFN_z60,XFN_signal,XUT_z20,XUT_z60,XUT_signal,XRE_z20,XRE_z60,XRE_signal,XIN_z20,XIN_z60,XIN_signal,XHC_z20,XHC_z60,XHC_signal,XST_z20,XST_z60,XST_signal,XEG_z20,XEG_z60,XEG_choc,ZAG_z20,ZAG_z60,ZAG_choc,XGD_z20,XGD_z60,XGD_choc,XIT_z20,XIT_z60,XIT_choc,XMA_z20,XMA_z60,XMA_choc
2026-04-27 11:22:12,neutre,18.72,log_observation,0,normal,0,0,-0.9546,-0.4311,0,-0.7606,-0.2897,0,-0.4502,-0.5787,0,-0.705,-0.3083,0,-0.7537,-0.5117,0,-0.2007,-0.1325,0,-0.347,-0.3764,0,0.9965,1.0142,0,-0.9889,-0.7293,0,-1.0873,-0.6281,0,-0.184,0.1081,0,-0.9125,-0.4809,0
2026-04-27 11:28:37,neutre,18.73,log_observation,0,normal,0,0,-0.897,-0.391,0,-0.8011,-0.3248,0,-0.4502,-0.5787,0,-0.7763,-0.3776,0,-0.7537,-0.5117,0,-0.2007,-0.1325,0,-0.393,-0.4146,0,0.9965,1.0142,0,-0.9889,-0.7293,0,-1.0189,-0.5747,0,-0.184,0.1081,0,-0.9659,-0.5208,0
2026-04-27 13:05:21,neutre,18.52,log_observation,0,normal,0,0,-1.0409,-0.4911,0,-0.8821,-0.3949,0,-0.6095,-0.7405,0,-0.5625,-0.1696,0,-0.5493,-0.3176,0,-0.1857,-0.1168,0,-0.485,-0.491,0,1.0319,1.0615,0,-0.9889,-0.7293,0,-1.0251,-0.5796,0,-0.246,0.0486,0,-0.8769,-0.4542,0
2026-04-27 14:14:15,neutre,18.52,règles_normales,0,normal,0,0,-1.1559,-0.5711,0,-1.2734,-0.7338,0,-0.8884,-1.0238,0,-0.9901,-0.5856,0,-0.631,-0.3952,0,-0.2758,-0.2114,0,-0.5769,-0.5675,0,1.1025,1.156,0,-1.2457,-0.9672,0,-0.9816,-0.5456,0,-0.1592,0.1319,0,-0.8147,-0.4076,0
2026-04-27 15:48:43,neutre,18.28,log_observation,0,normal,0,0,-0.7532,-0.291,0,-0.8416,-0.3598,0,-0.6494,-0.781,0,-1.0257,-0.6203,0,-0.5697,-0.337,0,-0.4859,-0.4322,0,-0.7608,-0.7203,0,1.2173,1.3097,0,-0.9889,-0.7293,0,-0.9008,-0.4825,0,0.033,0.3164,0,-0.6367,-0.2745,0
2026-04-27 16:44:10,neutre,18.02,log_observation,0,normal,0,0,-0.897,-0.391,0,-0.9225,-0.4299,0,-0.729,-0.8619,0,-1.2396,-0.8283,0,-0.6719,-0.4341,0,-0.5759,-0.5268,0,-0.9907,-0.9114,0,1.1555,1.227,0,-0.9889,-0.7293,0,-0.9816,-0.5456,0,0.1199,0.3997,0,-0.6812,-0.3077,0
2026-04-27 17:39:09,neutre,18.02,log_observation,0,normal,0,0,-0.897,-0.391,0,-0.9225,-0.4299,0,-0.729,-0.8619,0,-1.2396,-0.8283,0,-0.6719,-0.4341,0,-0.5759,-0.5268,0,-0.9907,-0.9114,0,1.1555,1.227,0,-0.9889,-0.7293,0,-0.9816,-0.5456,0,0.1199,0.3997,0,-0.6812,-0.3077,0
2026-04-27 17:44:58,neutre,18.02,log_observation,0,normal,1,0,-0.897,-0.391,0,-0.9225,-0.4299,0,-0.729,-0.8619,0,-1.2396,-0.8283,0,-0.6719,-0.4341,0,-0.5759,-0.5268,0,,,0,1.1555,1.227,0,-0.9889,-0.7293,0,-0.9816,-0.5456,0,0.1199,0.3997,0,-0.6812,-0.3077,0
2026-04-28 11:43:24,neutre,18.58,log_observation,0,normal,0,0,-0.9209,-0.4278,0,-0.2131,0.2585,0,0.9134,0.8006,0,0.0859,0.4843,0,-0.5891,-0.3253,0,0.3838,0.5077,0,0.4158,0.2293,0,1.2094,1.2388,0,-0.9671,-0.7162,0,-1.8194,-1.2828,0,-2.1245,-1.7136,0,-1.8945,-1.2577,0
2026-04-28 12:02:50,neutre,18.6,log_observation,0,normal,0,0,-0.8071,-0.3476,0,-0.1984,0.2702,0,0.9134,0.8006,0,0.0859,0.4843,0,-0.5891,-0.3253,0,0.3838,0.5077,0,0.4158,0.2293,0,1.2094,1.2388,0,-0.7126,-0.4789,0,-1.858,-1.3128,0,-2.3217,-1.9018,0,-2.0154,-1.3457,0
2026-04-28 13:52:05,neutre,18.33,log_observation,0,normal,0,0,-0.8356,-0.3676,0,-0.1247,0.3288,0,0.5141,0.3935,0,0.3004,0.695,0,-0.5061,-0.2473,0,-0.0039,0.112,0,0.5372,0.3317,0,1.1394,1.1474,0,-0.7126,-0.4789,0,-1.7679,-1.2428,0,-2.2326,-1.8168,0,-1.7737,-1.1696,0
2026-04-28 15:12:29,neutre,18.19,log_observation,0,normal,0,0,-0.8924,-0.4077,0,-0.2573,0.2233,0,0.2745,0.1492,0,0.0859,0.4843,0,-0.4854,-0.2279,0,-0.0814,0.0329,0,0.3248,0.1526,0,1.052,1.0331,0,-0.7126,-0.4789,0,-1.5619,-1.0828,0,-2.4043,-1.9808,0,-1.6063,-1.0477,0
2026-04-28 16:38:43,neutre,17.83,log_observation,0,normal,0,0,-1.063,-0.528,0,-0.4047,0.106,0,0.1148,-0.0136,0,0.0859,0.4843,0,-0.5061,-0.2473,0,-0.0659,0.0487,0,0.158,0.0119,0,1.0433,1.0216,0,-0.2036,-0.0042,0,-1.6262,-1.1328,0,-2.3407,-1.9201,0,-1.7644,-1.1628,0
2026-04-28 17:39:49,neutre,17.83,log_observation,0,normal,0,0,-1.063,-0.528,0,-0.4047,0.106,0,0.1148,-0.0136,0,0.0859,0.4843,0,-0.5061,-0.2473,0,-0.0659,0.0487,0,0.158,0.0119,0,1.0433,1.0216,0,-0.2036,-0.0042,0,-1.6262,-1.1328,0,-2.3407,-1.9201,0,-1.7644,-1.1628,0
2026-04-28 17:49:47,neutre,17.83,log_observation,0,normal,0,0,-1.063,-0.528,0,-0.4047,0.106,0,0.1148,-0.0136,0,0.0859,0.4843,0,-0.5061,-0.2473,0,-0.0659,0.0487,0,0.158,0.0119,0,1.0433,1.0216,0,-0.2036,-0.0042,0,-1.6262,-1.1328,0,-2.3407,-1.9201,0,-1.7644,-1.1628,0
2026-04-29 11:32:19,neutre,18.26,règles_normales,0,normal,0,1,-1.3369,-0.8733,0,-1.5685,-0.8279,0,-1.7586,-1.9204,0,-0.5395,-0.0834,0,-0.6523,-0.4197,0,-0.9745,-0.8949,0,0.12,-0.0642,0,0.9488,0.9746,0,-2.8048,-2.3746,1,-0.8282,-0.7075,0,-1.0917,-0.9147,0,-0.7015,-0.5568,0
2026-04-29 11:49:23,neutre,18.23,règles_normales,0,normal,0,1,-1.2812,-0.83,0,-1.4946,-0.769,0,-1.7993,-1.9611,0,-0.612,-0.1532,0,-0.6523,-0.4197,0,-0.9745,-0.8949,0,0.2747,0.0642,0,0.8487,0.8408,0,-2.8048,-2.3746,1,-0.8156,-0.6961,0,-1.0322,-0.8517,0,-0.6744,-0.5338,0
2026-04-29 13:10:34,neutre,18.74,règles_normales,0,normal,1,1,-1.5178,-1.0143,0,-1.7162,-0.9456,0,-1.7178,-1.8797,0,-0.5395,-0.0834,0,,,0,-0.6147,-0.5293,0,0.5222,0.2696,0,0.8737,0.8743,0,-3.0717,-2.612,1,-0.8976,-0.7699,0,-1.1808,-1.0091,0,-0.8456,-0.6793,0
2026-04-29 14:45:01,neutre,18.74,règles_normales,0,normal,0,1,-1.7127,-1.1661,0,-2.0855,-1.2398,0,-2.0437,-2.2053,0,-1.2637,-0.7813,0,-0.9837,-0.7322,0,-1.0527,-0.9743,0,0.0736,-0.1027,0,0.9655,0.9969,0,-3.6056,-3.0869,1,-1.0018,-0.8636,0,-0.5984,-0.392,0,-0.8816,-0.7099,0
2026-04-29 16:03:18,neutre,18.51,règles_normales,0,normal,0,1,-1.4761,-0.9818,0,-2.0412,-1.2045,0,-1.8808,-2.0425,0,-1.4448,-0.9558,0,-0.7973,-0.5564,0,-0.8181,-0.7359,0,0.0891,-0.0899,0,1.2158,1.3314,0,-3.8725,-3.3243,1,-0.9607,-0.8267,0,-0.2893,-0.0646,0,-0.9717,-0.7865,0
2026-04-29 17:15:04,neutre,18.81,règles_normales,0,normal,0,1,-1.4761,-0.9818,0,-2.0412,-1.2045,0,-1.8808,-2.0425,0,-1.4448,-0.9558,0,-0.7973,-0.5564,0,-0.8181,-0.7359,0,0.0891,-0.0899,0,1.2158,1.3314,0,-3.8725,-3.3243,1,-0.9607,-0.8267,0,-0.2893,-0.0646,0,-0.9717,-0.7865,0
2026-04-29 17:51:32,neutre,18.81,règles_normales,0,normal,0,1,-1.4761,-0.9818,0,-2.0412,-1.2045,0,-1.8808,-2.0425,0,-1.4448,-0.9558,0,-0.7973,-0.5564,0,-0.8181,-0.7359,0,0.0891,-0.0899,0,1.2158,1.3314,0,-3.8725,-3.3243,1,-0.9607,-0.8267,0,-0.2893,-0.0646,0,-0.9717,-0.7865,0
2026-04-30 11:26:43,neutre,17.32,seuil+0.5_taille÷1.5,0,normal,0,0,1.9359,1.2487,0,1.2904,1.2821,0,1.469,1.2591,0,0.0793,0.4347,0,0.9619,0.9627,0,1.9549,1.7502,0,1.7569,1.3508,0,-0.071,-0.3293,0,1.1653,1.1793,0,0.7997,0.5346,0,-0.0812,0.0615,0,0.8023,0.4785,0
2026-04-30 11:31:05,neutre,17.34,seuil+0.5_taille÷1.5,0,normal,0,0,2.0054,1.2924,0,1.3851,1.3542,0,1.5463,1.3389,0,0.0793,0.4347,0,1.0085,1.0038,0,1.9549,1.7502,0,1.7569,1.3508,0,-0.0396,-0.2862,0,1.1653,1.1793,0,0.77,0.5114,0,-0.0812,0.0615,0,0.8023,0.4785,0
2026-04-30 12:57:28,neutre,17.44,seuil+0.5_taille÷1.5,0,normal,0,0,2.2486,1.4453,0,1.4324,1.3902,0,1.6622,1.4586,0,0.0439,0.3997,0,0.9153,0.9217,0,2.4175,2.1695,0,1.6787,1.2838,0,0.2277,0.0804,0,1.1653,1.1793,0,0.5914,0.3721,0,-0.0877,0.0552,0,0.6701,0.3849,0
2026-04-30 14:06:10,neutre,17.27,seuil+0.5_taille÷1.5,0,normal,0,0,2.7003,1.7291,0,1.8268,1.6907,0,1.6236,1.4187,0,0.0793,0.4347,0,1.1016,1.0859,0,2.8446,2.5565,0,1.7569,1.3508,0,0.0862,-0.1137,0,1.1653,1.1793,0,0.77,0.5114,0,0.3426,0.4774,0,0.8574,0.5175,0
2026-04-30 15:46:01,neutre,17.2,seuil+0.5_taille÷1.5,0,normal,0,0,3.3605,2.144,0,2.2526,2.0151,0,1.8554,1.6581,0,0.363,0.7152,0,1.2414,1.209,0,2.5599,2.2985,0,2.3508,1.8595,0,0.3456,0.2421,0,1.3936,1.4083,0,0.6956,0.4533,0,0.6893,0.8177,0,0.8464,0.5097,0
2026-04-30 16:43:43,neutre,16.89,seuil+0.5_taille÷1.5,0,normal,0,0,3.3258,2.1222,0,2.158,1.943,0,1.5849,1.3788,0,0.2566,0.61,0,1.1948,1.1679,0,2.5599,2.2985,0,2.3977,1.8997,0,0.3378,0.2313,0,0.937,0.9504,0,0.7923,0.5288,0,0.7086,0.8366,0,0.8794,0.5331,0
2026-04-30 17:40:03,neutre,16.89,seuil+0.5_taille÷1.5,0,normal,0,0,3.3258,2.1222,0,2.158,1.943,0,1.5849,1.3788,0,0.2566,0.61,0,1.1948,1.1679,0,2.5599,2.2985,0,2.3977,1.8997,0,0.3378,0.2313,0,0.937,0.9504,0,0.7923,0.5288,0,0.7086,0.8366,0,0.8794,0.5331,0
2026-04-30 17:46:15,neutre,16.89,seuil+0.5_taille÷1.5,0,normal,0,0,3.3258,2.1222,0,2.158,1.943,0,1.5849,1.3788,0,0.2566,0.61,0,1.1948,1.1679,0,2.5599,2.2985,0,2.3977,1.8997,0,0.3378,0.2313,0,0.937,0.9504,0,0.7923,0.5288,0,0.7086,0.8366,0,0.8794,0.5331,0
2026-05-01 10:35:26,neutre,16.49,log_observation,0,normal,0,0,-0.2838,-0.1335,0,-0.1332,0.2026,0,0.9036,0.7736,0,0.4134,0.6168,0,-0.0799,-0.0062,0,0.1868,0.1676,0,0.5954,0.5199,0,-1.0239,-1.3957,0,1.0767,1.1521,0,-0.2727,-0.3165,0,0.5686,0.715,0,-0.1412,-0.2012,0
2026-05-01 10:44:06,neutre,16.6,seuil+0.5_taille÷1.5,0,normal,0,0,-0.229,-0.0922,0,-0.1332,0.2026,0,0.9036,0.7736,0,0.4134,0.6168,0,-0.0334,0.0347,0,0.1868,0.1676,0,0.528,0.4537,0,-0.9397,-1.2882,0,0.8526,0.9255,0,-0.218,-0.2762,0,0.5686,0.715,0,-0.1872,-0.2323,0
2026-05-01 11:39:05,neutre,16.67,seuil+0.5_taille÷1.5,0,normal,0,0,-0.229,-0.0922,0,0.0836,0.3798,0,0.9036,0.7736,0,-0.1381,0.1265,0,-0.1031,-0.0267,0,-0.2621,-0.2786,0,0.4605,0.3876,0,-0.8555,-1.1807,0,1.0767,1.1521,0,-0.3352,-0.3626,0,0.525,0.6701,0,-0.4055,-0.3804,0
